country,cow_code,year,court_type,court_name,year_first_woman,num_women,pct_women,region
Afghanistan,700,1970,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1971,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1972,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1973,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1974,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1975,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1976,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1977,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1978,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1979,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1980,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1981,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1982,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1983,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1984,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1985,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1986,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1987,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1988,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1989,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1990,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1991,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1992,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1993,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1994,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1995,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1996,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
Afghanistan,700,1997,SUP,Supreme Court (Stera Mahkama),2020,0,0.0000,South Asia
